file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,d7e2b73d,Ani,2026-04-17,11:51:15,-07:00,2026-04-17T11:51:15-07:00,0,4
style.css,2,css,d7e2b73d,Ani,2026-04-17,11:51:15,-07:00,2026-04-17T11:51:15-07:00,1,23
style.css,3,css,d7e2b73d,Ani,2026-04-17,11:51:15,-07:00,2026-04-17T11:51:15-07:00,0,0
style.css,4,css,d7e2b73d,Ani,2026-04-17,11:51:15,-07:00,2026-04-17T11:51:15-07:00,0,0
style.css,5,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,4
style.css,6,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,1,31
style.css,7,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,1,32
style.css,8,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,0
style.css,9,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,0
style.css,10,css,275c4b5c,Ani,2026-04-03,12:20:52,-07:00,2026-04-03T12:20:52-07:00,0,4
style.css,11,css,275c4b5c,Ani,2026-04-03,12:20:52,-07:00,2026-04-03T12:20:52-07:00,1,23
style.css,12,css,f4606dfe,Ani,2026-04-08,12:06:01,-07:00,2026-04-08T12:06:01-07:00,1,15
style.css,13,css,a709816d,Ani,2026-04-08,12:13:35,-07:00,2026-04-08T12:13:35-07:00,1,18
style.css,14,css,a709816d,Ani,2026-04-08,12:13:35,-07:00,2026-04-08T12:13:35-07:00,1,11
style.css,15,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,0
style.css,16,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,0
style.css,17,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,3
style.css,18,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,1,12
style.css,19,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,1,19
style.css,20,css,d7e2b73d,Ani,2026-04-17,11:51:15,-07:00,2026-04-17T11:51:15-07:00,1,39
style.css,21,css,d7e2b73d,Ani,2026-04-17,11:51:15,-07:00,2026-04-17T11:51:15-07:00,1,43
style.css,22,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,0
style.css,23,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,0
style.css,24,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,0,6
style.css,25,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,2,12
style.css,26,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,2,9
style.css,27,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,2,8
style.css,28,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,2,15
style.css,29,css,d320764e,Ani,2026-04-08,12:52:24,-07:00,2026-04-08T12:52:24-07:00,2,10
